# Constants and Parameters

# Final flow velocity (u_f): 1000 (m/s) - The final velocity of the flow
# Initial particle velocity (u_0): 0 (m/s) - The initial velocity of the particle
# Particle radius (r_is): 1e-05 (m) - The radius of the particle
# Nozzle radius (r_n): 0.5 (m) - The radius of the nozzle
# Particle density (q): 7874 (kg/m^3) - The density of the particle
# Gas density (q_g): 1.2754 (kg/m^3) - The density of the gas
# Gas constant (R): 8.31446 (J/(kg*K)) - The specific gas constant
# Gamma: 1.4# Molar mass of air (M): 0.029 (kg/mol) - The molar mass of air
# Gas temperature (T): 300 (K) - The temperature of the gas
# Reference temperature (T_0): 291.15 (K) - The reference temperature for gas
# Reference viscosity (eta_0): 1.827e-05 (Pa*s) - The reference viscosity of the gas
# Specific heat capacity of the gas (Cp): 460 (J/(kg*K)) - The specific heat capacity of the gas
# Speed of sound (Sound speed): 347.011 (m/s) - The speed of sound in the gas
# Dynamic viscosity (Viscosity): 1.91093e-05 (Pa*s) - The dynamic viscosity of the gas






# i  t  v  x  h  fi
0 0 0 0 0.001 227.436
1 0.001 188.922 0.0944609 0.0008 193.874
2 0.0018 300.125 0.290079 0.00064 175.796
3 0.00244 372.359 0.505274 0.000512 165.087
4 0.002952 442.651 0.713916 0.0004096 336.102
5 0.0033616 508.36 0.908683 0.00032768 260.327
6 0.00368928 543.508 1.08102 0.000262144 196.907
7 0.00395142 564.423 1.22624 0.000209715 162.903
8 0.00416114 578.13 1.34605 0.000167772 142.861
9 0.00432891 587.663 1.44384 0.000134218 130.015
10 0.00446313 594.553 1.52318 0.000107374 121.284
11 0.0045705 599.664 1.58729 8.58993e-05 115.101
12 0.0046564 603.524 1.63897 6.87195e-05 110.592
13 0.00472512 606.48 1.68054 5.49756e-05 107.232
14 0.0047801 608.766 1.71395 4.39805e-05 104.688
15 0.00482408 610.546 1.74076 3.51844e-05 102.738
16 0.00485926 611.941 1.76227 2.81475e-05 101.23
17 0.00488741 613.039 1.77951 2.2518e-05 100.056
18 0.00490993 613.906 1.79332 1.80144e-05 99.1353
19 0.00492794 614.592 1.80439 1.44115e-05 98.4112
20 0.00494235 615.137 1.81325 1.15292e-05 97.8396
21 0.00495388 615.569 1.82034 9.22337e-06 97.387
22 0.00496311 615.914 1.82602 7.3787e-06 97.028
23 0.00497049 616.188 1.83057 5.90296e-06 96.7426
24 0.00497639 616.407 1.8342 4.72237e-06 96.5156
25 0.00498111 616.582 1.83712 4.72237e-06 96.3347
26 0.00498583 616.756 1.84003 4.72237e-06 96.1545
27 0.00499056 616.93 1.84294 4.72237e-06 95.975
28 0.00499528 617.103 1.84585 4.72237e-06 95.7961
29 0.005 617.276 1.84877 4.72237e-06 95.618
30 0.00500472 617.449 1.85168 4.72237e-06 95.4404
31 0.00500944 617.621 1.8546 4.72237e-06 95.2636
